"agno","mes","dia","valor","sitio"
2007,5,1,14.5,"Pudahuel Santiago"
2007,6,1,53.9,"Pudahuel Santiago"
2007,7,1,22.9,"Pudahuel Santiago"
2007,8,1,31.1,"Pudahuel Santiago"
2007,9,1,0.6,"Pudahuel Santiago"
2007,10,1,0.2,"Pudahuel Santiago"
2007,11,1,0,"Pudahuel Santiago"
2007,12,1,0,"Pudahuel Santiago"
2008,1,1,0,"Pudahuel Santiago"
2008,2,1,0,"Pudahuel Santiago"
2008,3,1,9.2,"Pudahuel Santiago"
2008,4,1,6.9,"Pudahuel Santiago"
2008,5,1,56.4,"Pudahuel Santiago"
2008,6,1,36.4,"Pudahuel Santiago"
2008,7,1,26.2,"Pudahuel Santiago"
2008,8,1,77.4,"Pudahuel Santiago"
2008,9,1,11.4,"Pudahuel Santiago"
2008,10,1,0,"Pudahuel Santiago"
2008,11,1,0,"Pudahuel Santiago"
2008,12,1,0,"Pudahuel Santiago"
2009,1,1,0,"Pudahuel Santiago"
2009,2,1,0,"Pudahuel Santiago"
2009,3,1,0,"Pudahuel Santiago"
2009,4,1,0,"Pudahuel Santiago"
2009,5,1,3,"Pudahuel Santiago"
2009,6,1,91.5,"Pudahuel Santiago"
2009,7,1,8.6,"Pudahuel Santiago"
2009,8,1,81.2,"Pudahuel Santiago"
2009,9,1,20.4,"Pudahuel Santiago"
2009,10,1,2.8,"Pudahuel Santiago"
2009,11,1,0,"Pudahuel Santiago"
2009,12,1,0,"Pudahuel Santiago"
2010,1,1,0,"Pudahuel Santiago"
2010,2,1,0,"Pudahuel Santiago"
2010,3,1,0,"Pudahuel Santiago"
2010,4,1,1,"Pudahuel Santiago"
2010,5,1,42.6,"Pudahuel Santiago"
2010,6,1,49.6,"Pudahuel Santiago"
2010,7,1,23.6,"Pudahuel Santiago"
2010,8,1,5.6,"Pudahuel Santiago"
2010,9,1,14.2,"Pudahuel Santiago"
2010,10,1,9.6,"Pudahuel Santiago"
2010,11,1,14.8,"Pudahuel Santiago"
2010,12,1,0,"Pudahuel Santiago"
2011,1,1,0,"Pudahuel Santiago"
2011,2,1,4.2,"Pudahuel Santiago"
2011,3,1,0,"Pudahuel Santiago"
2011,4,1,10.8,"Pudahuel Santiago"
2011,5,1,0.4,"Pudahuel Santiago"
2011,6,1,43.4,"Pudahuel Santiago"
2011,7,1,35.8,"Pudahuel Santiago"
2011,8,1,16.6,"Pudahuel Santiago"
2011,9,1,0.6,"Pudahuel Santiago"
2011,10,1,0.4,"Pudahuel Santiago"
2011,11,1,0,"Pudahuel Santiago"
2011,12,1,0,"Pudahuel Santiago"
2012,1,1,0,"Pudahuel Santiago"
2012,2,1,0,"Pudahuel Santiago"
2012,3,1,0,"Pudahuel Santiago"
2012,4,1,4.8,"Pudahuel Santiago"
2012,5,1,27.6,"Pudahuel Santiago"
2012,6,1,57.4,"Pudahuel Santiago"
2012,7,1,0.6,"Pudahuel Santiago"
2012,8,1,29.4,"Pudahuel Santiago"
2012,9,1,0.4,"Pudahuel Santiago"
2012,10,1,31,"Pudahuel Santiago"
2012,11,1,0,"Pudahuel Santiago"
2012,12,1,15,"Pudahuel Santiago"
2013,1,1,0,"Pudahuel Santiago"
2013,2,1,0,"Pudahuel Santiago"
2013,3,1,0,"Pudahuel Santiago"
2013,4,1,0,"Pudahuel Santiago"
2013,5,1,73,"Pudahuel Santiago"
2013,6,1,29.8,"Pudahuel Santiago"
2013,7,1,2.4,"Pudahuel Santiago"
2013,8,1,15.6,"Pudahuel Santiago"
2013,9,1,3,"Pudahuel Santiago"
2013,10,1,0,"Pudahuel Santiago"
2013,11,1,0,"Pudahuel Santiago"
2013,12,1,0,"Pudahuel Santiago"
2014,1,1,0.2,"Pudahuel Santiago"
2014,2,1,0,"Pudahuel Santiago"
2014,3,1,0,"Pudahuel Santiago"
2014,4,1,0,"Pudahuel Santiago"
2014,5,1,5,"Pudahuel Santiago"
2014,6,1,60.2,"Pudahuel Santiago"
2014,7,1,22.6,"Pudahuel Santiago"
2014,8,1,37,"Pudahuel Santiago"
2014,9,1,22.2,"Pudahuel Santiago"
2014,10,1,0,"Pudahuel Santiago"
2014,11,1,3.4,"Pudahuel Santiago"
2014,12,1,0.8,"Pudahuel Santiago"
2015,1,1,0,"Pudahuel Santiago"
2015,2,1,0,"Pudahuel Santiago"
2015,3,1,6.6,"Pudahuel Santiago"
2015,4,1,0,"Pudahuel Santiago"
2015,5,1,1.8,"Pudahuel Santiago"
2015,6,1,0,"Pudahuel Santiago"
2015,7,1,30.6,"Pudahuel Santiago"
2015,8,1,102.6,"Pudahuel Santiago"
2015,9,1,16.6,"Pudahuel Santiago"
2015,10,1,14.6,"Pudahuel Santiago"
2015,11,1,7,"Pudahuel Santiago"
2015,12,1,0,"Pudahuel Santiago"
2016,1,1,4.6,"Pudahuel Santiago"
2016,2,1,0,"Pudahuel Santiago"
2016,3,1,0,"Pudahuel Santiago"
2016,4,1,98,"Pudahuel Santiago"
2016,5,1,13.6,"Pudahuel Santiago"
2016,6,1,36.6,"Pudahuel Santiago"
